OrderID,Product Name,Supplier Name,Category Name,Customer Name,Customer City,Customer Country,Customer Continent,Employee Name,Employee Designation,OrderDate,Total Purchase Amount
10248,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,Beverages,Vins et alcools Chevalier,Reims,France,Europe,Steven Buchanan,Sales Manager,8/4/94 0:00,168
10248,Singaporean Hokkien Fried Mee,Leka Trading,Grains/Cereals,Vins et alcools Chevalier,Reims,France,Europe,Steven Buchanan,Sales Manager,8/4/94 0:00,98
10248,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,Dairy Products,Vins et alcools Chevalier,Reims,France,Europe,Steven Buchanan,Sales Manager,8/4/94 0:00,174
10249,Tofu,Mayumi's,Produce,Toms Spezialitäten,Münster,Germany,Europe,Michael Suyama,Sales Representative,8/5/94 0:00,167.4
10249,Manjimup Dried Apples,"G'day, Mate",Produce,Toms Spezialitäten,Münster,Germany,Europe,Michael Suyama,Sales Representative,8/5/94 0:00,1696
10250,Jack's New England Clam Chowder,New England Seafood Cannery,Seafood,Hanari Carnes,Rio de Janeiro,Brazil,South America,Margaret Peacock,Sales Representative,8/8/94 0:00,77
10250,Manjimup Dried Apples,"G'day, Mate",Produce,Hanari Carnes,Rio de Janeiro,Brazil,South America,Margaret Peacock,Sales Representative,8/8/94 0:00,1483.85
10250,Louisiana Fiery Hot Pepper Sauce,New Orleans Cajun Delights,Condiments,Hanari Carnes,Rio de Janeiro,Brazil,South America,Margaret Peacock,Sales Representative,8/8/94 0:00,251.85
10251,Gustaf's Knäckebröd,PB Knäckebröd AB,Grains/Cereals,Victuailles en stock,Lyon,France,Europe,Janet Leverling,Sales Representative,8/8/94 0:00,100.75
10251,Ravioli Angelo,Pasta Buttini s.r.l.,Grains/Cereals,Victuailles en stock,Lyon,France,Europe,Janet Leverling,Sales Representative,8/8/94 0:00,233.95
10251,Louisiana Fiery Hot Pepper Sauce,New Orleans Cajun Delights,Condiments,Victuailles en stock,Lyon,France,Europe,Janet Leverling,Sales Representative,8/8/94 0:00,336
10252,Sir Rodney's Marmalade,"Specialty Biscuits, Ltd.",Confections,Suprêmes délices,Charleroi,Belgium,Europe,Margaret Peacock,Sales Representative,8/9/94 0:00,2591.95
10252,Geitost,Norske Meierier,Dairy Products,Suprêmes délices,Charleroi,Belgium,Europe,Margaret Peacock,Sales Representative,8/9/94 0:00,49.95
10252,Camembert Pierrot,Gai pâturage,Dairy Products,Suprêmes délices,Charleroi,Belgium,Europe,Margaret Peacock,Sales Representative,8/9/94 0:00,1088
10253,Gorgonzola Telino,Formaggi Fortini s.r.l.,Dairy Products,Hanari Carnes,Rio de Janeiro,Brazil,South America,Janet Leverling,Sales Representative,8/10/94 0:00,200
10253,Chartreuse verte,Aux joyeux ecclésiastiques,Beverages,Hanari Carnes,Rio de Janeiro,Brazil,South America,Janet Leverling,Sales Representative,8/10/94 0:00,604.8
10253,Maxilaku,Karkki Oy,Confections,Hanari Carnes,Rio de Janeiro,Brazil,South America,Janet Leverling,Sales Representative,8/10/94 0:00,640
10254,Guaraná Fantástica,Refrescos Americanas LTDA,Beverages,Chop-suey Chinese,Bern,Switzerland,Europe,Steven Buchanan,Sales Manager,8/11/94 0:00,53.85
10254,Pâté chinois,Ma Maison,Meat/Poultry,Chop-suey Chinese,Bern,Switzerland,Europe,Steven Buchanan,Sales Manager,8/11/94 0:00,403.05
